Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
376,10.000001,50.000080,-0.000001,-25.000011,0.000000
377,10.000001,50.000080,-0.000001,-25.000011,0.000000
378,10.000001,50.000080,-0.000001,-25.000011,0.000000
379,10.000001,50.000080,-0.000001,-25.000011,0.000000
380,10.000001,50.000080,-0.000001,-25.000011,0.000000
381,10.000001,50.000080,-0.000001,-25.000011,0.000000
382,10.000001,50.000080,-0.000001,-25.000011,0.000000
383,10.000001,50.000080,-0.000001,-25.000011,0.000000
384,10.000001,50.000080,-0.000001,-25.000011,0.000000
385,10.000001,50.000080,-0.000001,-25.000011,0.000000
386,10.000001,50.000080,-0.000001,-25.000011,0.000000
387,10.000001,50.000080,-0.000001,-25.000011,0.000000
388,10.000001,50.000080,-0.000001,-25.000011,0.000000
389,10.000001,50.000080,-0.000001,-25.000011,0.000000
390,10.000001,50.000080,-0.000001,-25.000011,0.000000
391,10.000001,50.000080,-0.000001,-25.000011,0.000000
392,10.000001,50.000080,-0.000001,-25.000011,0.000000
393,10.000001,50.000080,-0.000001,-25.000011,0.000000
394,10.000001,50.000080,-0.000001,-25.000011,0.000000
395,10.000001,50.000080,-0.000001,-25.000011,0.000000
396,10.000001,50.000080,-0.000001,-25.000011,0.000000
397,10.000001,50.000080,-0.000001,-25.000011,0.000000
398,10.000001,50.000080,-0.000001,-25.000011,0.000000
399,10.000001,50.000080,-0.000001,-25.000011,0.000000
400,10.000001,50.000080,-0.000001,-25.000011,0.000000
401,10.000001,50.000080,-0.000001,-25.000011,0.000000
402,10.000001,50.000080,-0.000001,-25.000011,0.000000
403,10.000001,50.000080,-0.000001,-25.000011,0.000000
404,10.000001,50.000080,-0.000001,-25.000011,0.000000
405,10.000001,50.000080,-0.000001,-25.000011,0.000000
406,10.000001,50.000080,-0.000001,-25.000011,0.000000
407,10.000001,50.000080,-0.000001,-25.000011,0.000000
408,10.000001,50.000080,-0.000001,-25.000011,0.000000
409,10.000001,50.000080,-0.000001,-25.000011,0.000000
410,10.000001,50.000080,-0.000001,-25.000011,0.000000
411,10.000001,50.000080,-0.000001,-25.000011,0.000000
412,10.000001,50.000080,-0.000001,-25.000011,0.000000
413,10.000001,50.000080,-0.000001,-25.000011,0.000000
414,10.000001,50.000080,-0.000001,-25.000011,0.000000
415,10.000001,50.000080,-0.000001,-25.000011,0.000000
416,10.000001,50.000080,-0.000001,-25.000011,0.000000
417,10.000001,50.000080,-0.000001,-25.000011,0.000000
418,10.000001,50.000080,-0.000001,-25.000011,0.000000
419,10.000001,50.000080,-0.000001,-25.000011,0.000000
420,10.000001,50.000080,-0.000001,-25.000011,0.000000
421,10.000001,50.000080,-0.000001,-25.000011,0.000000
422,10.000001,50.000080,-0.000001,-25.000011,0.000000
423,10.000001,50.000080,-0.000001,-25.000011,0.000000
424,10.000001,50.000080,-0.000001,-25.000011,0.000000
425,10.000001,50.000080,-0.000001,-25.000011,0.000000
426,10.000001,50.000080,-0.000001,-25.000011,0.000000
427,10.000001,50.000080,-0.000001,-25.000011,0.000000
428,10.000001,50.000080,-0.000001,-25.000011,0.000000
429,10.000001,50.000080,-0.000001,-25.000011,0.000000
430,10.000001,50.000080,-0.000001,-25.000011,0.000000
431,10.000001,50.000080,-0.000001,-25.000011,0.000000
432,10.000001,50.000080,-0.000001,-25.000011,0.000000
433,10.000001,50.000080,-0.000001,-25.000011,0.000000
434,10.000001,50.000080,-0.000001,-25.000011,0.000000
435,10.000001,50.000080,-0.000001,-25.000011,0.000000
436,10.000001,50.000080,-0.000001,-25.000011,0.000000
437,10.000001,50.000080,-0.000001,-25.000011,0.000000
438,10.000001,50.000080,-0.000001,-25.000011,0.000000
439,10.000001,50.000080,-0.000001,-25.000011,0.000000
